timestamp,total_avaliados,educacao_financeira,investimentos_avancados,excluidos_faixa_neutra,excluidos_news_existente,excluidos_supressao,gravados_sucesso,gravados_falha
2026-08-12T14:17:39.378121+00:00,104,18,0,17,69,0,18,0
2026-08-12T14:25:41.562491+00:00,104,0,0,17,87,0,0,0
